Class,Image Count
Apple___Apple_scab,723
Apple___Black_rot,621
Apple___Cedar_apple_rust,363
Apple___healthy,1735
Blueberry___healthy,1616
Cherry_(including_sour)___Powdery_mildew,1052
Cherry_(including_sour)___healthy,910
Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot,581
Corn_(maize)___Common_rust_,1308
Corn_(maize)___Northern_Leaf_Blight,1176
Corn_(maize)___healthy,1162
Grape___Black_rot,1244
Grape___Esca_(Black_Measles),1383
Grape___Leaf_blight_(Isariopsis_Leaf_Spot),1076
Grape___healthy,491
Orange___Haunglongbing_(Citrus_greening),5507
Peach___Bacterial_spot,2297
Peach___healthy,471
"Pepper,_bell___Bacterial_spot",1068
"Pepper,_bell___healthy",1539
Potato___Early_blight,1116
Potato___Late_blight,1105
Potato___healthy,152
Raspberry___healthy,490
Soybean___healthy,5155
Squash___Powdery_mildew,1963
Strawberry___Leaf_scorch,1109
Strawberry___healthy,551
Tomato___Bacterial_spot,2237
Tomato___Early_blight,1088
Tomato___Late_blight,2020
Tomato___Leaf_Mold,1043
Tomato___Septoria_leaf_spot,1922
Tomato___Spider_mites Two-spotted_spider_mite,1678
Tomato___Target_Spot,1404
Tomato___Tomato_Yellow_Leaf_Curl_Virus,5432
Tomato___Tomato_mosaic_virus,427
Tomato___healthy,1654
