Class,Image Count
Potato: Healthy,152
Apple: Cedar Apple Rust,363
Tomato: Mosaic Virus,427
Peach: Healthy,471
Raspberry: Healthy,490
Grape: Healthy,491
Strawberry: Healthy,551
Corn: Cercospora Leaf Spot,581
Apple: Black Rot,621
Apple: Apple Scab,723
Cherry: Healthy,910
Tomato: Leaf Mold,1043
Cherry: Powdery Mildew,1052
Pepper: Bacterial Spot,1068
Grape: Leaf Blight,1076
Tomato: Early Blight,1088
Potato: Late Blight,1105
Strawberry: Leaf Scorch,1109
Potato: Early Blight,1116
Corn: Healthy,1162
Corn: Northern Leaf Blight,1176
Grape: Black Rot,1244
Corn: Common Rust,1308
Grape: Esca (Black Measles),1383
Tomato: Target Spot,1404
Pepper: Healthy,1539
Blueberry: Healthy,1616
Tomato: Healthy,1654
Tomato: Spider Mites,1678
Apple: Healthy,1735
Tomato: Septoria Leaf Spot,1922
Squash: Powdery Mildew,1963
Tomato: Late Blight,2020
Tomato: Bacterial Spot,2237
Peach: Bacterial Spot,2297
Soybean: Healthy,5155
Tomato: Yellow Leaf Curl Virus,5432
Orange: Citrus Greening,5507
