,precision,recall,f1-score,support
Apple___Apple_scab,0.9263157894736842,0.8148148148148148,0.8669950738916257,108.0
Apple___Black_rot,0.967741935483871,0.967741935483871,0.967741935483871,93.0
Apple___Cedar_apple_rust,0.6875,0.8148148148148148,0.7457627118644068,54.0
Apple___healthy,0.967479674796748,0.9118773946360154,0.9388560157790927,261.0
Blueberry___healthy,0.8013698630136986,0.9629629629629629,0.874766355140187,243.0
Cherry_(including_sour)___Powdery_mildew,0.9802631578947368,0.9430379746835443,0.9612903225806452,158.0
Cherry_(including_sour)___healthy,0.84,0.9264705882352942,0.8811188811188811,136.0
Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot,0.7159090909090909,0.7241379310344828,0.72,87.0
Corn_(maize)___Common_rust_,0.9639175257731959,0.9540816326530612,0.958974358974359,196.0
Corn_(maize)___Northern_Leaf_Blight,0.8491620111731844,0.8587570621468926,0.8539325842696629,177.0
Corn_(maize)___healthy,0.9885714285714285,0.9885714285714285,0.9885714285714285,175.0
Grape___Black_rot,0.9329608938547486,0.893048128342246,0.912568306010929,187.0
Grape___Esca_(Black_Measles),0.9389671361502347,0.9615384615384616,0.9501187648456056,208.0
Grape___Leaf_blight_(Isariopsis_Leaf_Spot),1.0,0.9316770186335404,0.9646302250803859,161.0
Grape___healthy,0.92,0.9452054794520548,0.9324324324324325,73.0
Orange___Haunglongbing_(Citrus_greening),0.998769987699877,0.9830508474576272,0.9908480780964003,826.0
Peach___Bacterial_spot,0.9815950920245399,0.927536231884058,0.9538002980625931,345.0
Peach___healthy,0.5892857142857143,0.9428571428571428,0.7252747252747253,70.0
"Pepper,_bell___Bacterial_spot",0.7877094972067039,0.88125,0.831858407079646,160.0
"Pepper,_bell___healthy",0.8106060606060606,0.9264069264069265,0.8646464646464647,231.0
Potato___Early_blight,0.9466666666666667,0.8502994011976048,0.8958990536277602,167.0
Potato___Late_blight,0.8433734939759037,0.8484848484848485,0.8459214501510574,165.0
Potato___healthy,0.3559322033898305,0.9130434782608695,0.5121951219512195,23.0
Raspberry___healthy,0.8513513513513513,0.863013698630137,0.8571428571428571,73.0
Soybean___healthy,0.9970845481049563,0.8837209302325582,0.936986301369863,774.0
Squash___Powdery_mildew,0.9963235294117647,0.9186440677966101,0.9559082892416225,295.0
Strawberry___Leaf_scorch,0.9817073170731707,0.9698795180722891,0.9757575757575757,166.0
Strawberry___healthy,0.8478260869565217,0.9512195121951219,0.896551724137931,82.0
Tomato___Bacterial_spot,0.9450980392156862,0.7172619047619048,0.8155668358714044,336.0
Tomato___Early_blight,0.6180555555555556,0.5460122699386503,0.5798045602605864,163.0
Tomato___Late_blight,0.8158844765342961,0.7458745874587459,0.7793103448275862,303.0
Tomato___Leaf_Mold,0.7103825136612022,0.8333333333333334,0.7669616519174042,156.0
Tomato___Septoria_leaf_spot,0.743421052631579,0.7820069204152249,0.7622259696458684,289.0
Tomato___Spider_mites Two-spotted_spider_mite,0.7204968944099379,0.9206349206349206,0.8083623693379791,252.0
Tomato___Target_Spot,0.6589147286821705,0.8056872037914692,0.7249466950959488,211.0
Tomato___Tomato_Yellow_Leaf_Curl_Virus,0.9749058971141782,0.9533742331288344,0.9640198511166254,815.0
Tomato___Tomato_mosaic_virus,0.5670103092783505,0.859375,0.6832298136645962,64.0
Tomato___healthy,0.9635416666666666,0.7459677419354839,0.8409090909090909,248.0
accuracy,0.8878208885242058,0.8878208885242058,0.8878208885242058,0.8878208885242058
macro avg,0.8470026628841395,0.8780966407073117,0.8548917611902715,8531.0
weighted avg,0.9004151921014086,0.8878208885242058,0.8904234816383664,8531.0
overall_accuracy,0.8878208885242058,0.8878208885242058,0.8878208885242058,0.8878208885242058
